predation,livestock,dogs,area,elevation,treecover,centre
1,40,2,8341,1538,54,16621.18
1,52,8,84,1541,42,15274.91
1,41,3,36,1621,56,13799.97
0,19,1,8341,1538,54,16246.81
1,68,15,240,1561,48,9825.18
0,67,4,304.8,1889,74,13105.81
1,45,1,144,1881,75,24509.72
1,38,8,780,1645,72,29850.08
1,118,4,312,1726,48,27716.33
1,14,5,523.2,1749,75,23144.04
1,74,6,384,1262,69,20327.26
0,185,2,240,1222,70,20610.05
1,960,12,4800,1985,70,17405.04
0,2,5,28.8,1557,53,13478.53
0,1,2,28.8,1543,56,13995.34
0,1,2,1,1718,64,7684.28
0,4,1,1,1647,46,7515.68
1,90,2,2.4,1660,46,7321.24
1,109,5,1,1665,46,7076.44
1,16,2,1,1674,68,6938
0,12,3,240,1732,68,8402.88
0,42,3,5,1764,53,6770.79
0,56,10,2,1743,53,7837
1,23,10,1,1734,53,7792.87
0,52,1,19.2,1074,63,16170.71
1,53,4,528,1764,72,21897.09
0,10,0,8341,1538,54,16187.48
1,4,1,600,1340,73,22844.58
1,31,3,7.2,1055,34,17065.22
1,35,3,240,1739,72,7724.76
0,42,2,7.2,1012,27,17933.57
0,17,0,2.4,1076,27,18261.81
0,25,2,2.4,1082,27,18230.87
0,36,1,21.6,1065,63,16026.92
1,43,0,4800,1916,69,13726.54
0,20,3,1,1843,72,7920.66
0,12,2,9.6,1256,51,9239.1
0,8,1,2.4,1257,62,9174.35
0,63,2,84,1182,50,12851.11
1,9,4,14.4,1260,54,9873.58
0,15,2,180,1401,72,7090.28
1,11,0,180,1401,72,7090.28
